,Point,Latitude,Longitude,nom,code_pra
7932,9932,46.5208,2.0759,Boischaut du Sud,36436
7944,9933,46.5209,2.1801,Boischaut du Sud,36436
7956,10068,46.5887,1.3447,Boischaut du Sud,36436
7968,10069,46.5896,1.4491,Boischaut du Sud,36436
7980,10070,46.5903,1.5535,Boischaut du Sud,36436
7992,10071,46.591,1.6579,Boischaut du Sud,36436
8004,10072,46.5916,1.7623,Boischaut du Sud,36436
8016,10073,46.5921,1.8667,Boischaut du Sud,36436
8028,10074,46.5924,1.9711,Boischaut du Sud,36436
8040,10075,46.5927,2.0755,Boischaut du Sud,36436
8052,10212,46.6615,1.4479,Boischaut du Sud,36436
8064,10216,46.664,1.8661,Boischaut du Sud,36436
8076,10217,46.6644,1.9706,Boischaut du Sud,36436
8088,10218,46.6647,2.0752,Boischaut du Sud,36436
8100,10358,46.7355,1.7608,Boischaut du Sud,36436
8112,10359,46.736,1.8655,Boischaut du Sud,36436
8124,10360,46.7364,1.9701,Boischaut du Sud,36436
8136,10502,46.808,1.8648,Boischaut du Sud,36436
8148,10503,46.8084,1.9696,Boischaut du Sud,36436
9000,15075,49.1081,1.5153,Vallee de la Seine,27332
9012,15217,49.1792,1.4045,Vallee de la Seine,27332
9024,15358,49.2492,1.1836,Vallee de la Seine,27332
9036,15501,49.321,1.182,Vallee de la Seine,27332
9144,8515,45.7961,3.417,Plaine de la Dore,63175
9156,8516,45.7951,3.5198,Plaine de la Dore,63175
9168,8517,45.7939,3.6227,Plaine de la Dore,63175
9180,8658,45.8681,3.4184,Plaine de la Dore,63175
9192,8659,45.867,3.5214,Plaine de la Dore,63175
9204,8660,45.8659,3.6244,Plaine de la Dore,63175
9216,8802,45.939,3.523,Plaine de la Dore,63175
9228,8945,46.011,3.5245,Plaine de la Dore,63175
9432,7224,45.1516,2.9976,Cezallier,15417
9444,7367,45.2236,2.9985,Cezallier,15417
9456,7368,45.2229,3.1003,Cezallier,15417
9468,7509,45.2961,2.8974,Cezallier,15417
9480,7651,45.3685,2.796,Cezallier,15417
9492,7652,45.3681,2.8981,Cezallier,15417
9648,16393,49.7297,4.9414,Ardenne,08021
9660,16394,49.7273,5.0522,Ardenne,08021
9672,16533,49.8082,4.6123,Ardenne,08021
9684,16535,49.8039,4.8342,Ardenne,08021
9696,16674,49.884,4.3933,Ardenne,08021
9708,16675,49.8821,4.5044,Ardenne,08021
9720,16676,49.88,4.6155,Ardenne,08021
9732,16677,49.8779,4.7266,Ardenne,08021
9744,16678,49.8757,4.8377,Ardenne,08021
9756,16819,49.9518,4.6187,Ardenne,08021
9768,16820,49.9497,4.73,Ardenne,08021
9780,16963,50.0215,4.7334,Ardenne,08021
9792,17106,50.0933,4.7368,Ardenne,08021
10116,16949,50.0422,3.1728,Artois-Cambresis,59326
10128,16950,50.0413,3.2843,Artois-Cambresis,59326
10140,17092,50.114,3.174,Artois-Cambresis,59326
10152,17093,50.1131,3.2857,Artois-Cambresis,59326
10164,17094,50.1122,3.3973,Artois-Cambresis,59326
10176,17235,50.1858,3.1752,Artois-Cambresis,59326
10188,17236,50.1849,3.287,Artois-Cambresis,59326
10200,17237,50.184,3.3989,Artois-Cambresis,59326
10212,17378,50.2576,3.1764,Artois-Cambresis,59326
10224,17379,50.2567,3.2884,Artois-Cambresis,59326
10236,17380,50.2558,3.4004,Artois-Cambresis,59326
10248,17520,50.3301,3.0655,Artois-Cambresis,59326
10548,15354,49.2441,0.7446,Roumois,27052
10560,15355,49.2456,0.8543,Roumois,27052
10572,15356,49.2469,0.9641,Roumois,27052
10584,15496,49.3145,0.6324,Roumois,27052
10596,15497,49.316,0.7423,Roumois,27052
10608,15498,49.3174,0.8523,Roumois,27052
10620,15638,49.3847,0.52,Roumois,27052
10632,15639,49.3863,0.63,Roumois,27052
10644,15640,49.3879,0.7401,Roumois,27052
10656,15641,49.3893,0.8502,Roumois,27052
10908,13658,48.3904,2.9305,Brie Humide,77062
10920,13800,48.4628,2.8231,Brie Humide,77062
10932,13801,48.4623,2.9313,Brie Humide,77062
10944,13942,48.5351,2.7155,Brie Humide,77062
10956,13943,48.5347,2.8238,Brie Humide,77062
10968,13944,48.5343,2.9321,Brie Humide,77062
11124,14947,49.0363,3.1566,Orxois,77056
11160,9766,46.4181,-0.3178,"Entre Plaine,bocage et Gatine",79366
11172,9767,46.4204,-0.2138,"Entre Plaine,bocage et Gatine",79366
11184,9768,46.4227,-0.1097,"Entre Plaine,bocage et Gatine",79366
11196,9907,46.4849,-0.5296,"Entre Plaine,bocage et Gatine",79366
11304,12939,48.0321,2.4974,Gatinais Riche,45339
11316,12940,48.0319,2.6047,Gatinais Riche,45339
11328,13080,48.1042,2.2828,Gatinais Riche,45339
11340,13081,48.1042,2.3902,Gatinais Riche,45339
11352,13082,48.1041,2.4976,Gatinais Riche,45339
11364,13083,48.1039,2.605,Gatinais Riche,45339
11376,13084,48.1036,2.7124,Gatinais Riche,45339
11388,13224,48.1761,2.3903,Gatinais Riche,45339
11400,13225,48.176,2.4978,Gatinais Riche,45339
11628,2772,42.917,1.1144,Plantaurel,09393
11640,2775,42.92,1.4077,Plantaurel,09393
11652,2776,42.9208,1.5055,Plantaurel,09393
11664,2777,42.9215,1.6032,Plantaurel,09393
11676,2778,42.9221,1.701,Plantaurel,09393
11688,2779,42.9227,1.7988,Plantaurel,09393
11700,2780,42.9231,1.8966,Plantaurel,09393
11712,2914,42.9877,1.015,Plantaurel,09393
11724,2915,42.9889,1.1129,Plantaurel,09393
11736,2916,42.99,1.2108,Plantaurel,09393
11748,2917,42.9909,1.3086,Plantaurel,09393
11760,2918,42.9918,1.4065,Plantaurel,09393
11772,2919,42.9927,1.5044,Plantaurel,09393
11784,2920,42.9934,1.6023,Plantaurel,09393
11796,2921,42.994,1.7002,Plantaurel,09393
11808,2922,42.9945,1.7981,Plantaurel,09393
11820,3057,43.0596,1.0133,Plantaurel,09393
11832,3058,43.0607,1.1113,Plantaurel,09393
11844,3059,43.0618,1.2093,Plantaurel,09393
11856,3060,43.0628,1.3074,Plantaurel,09393
11868,3061,43.0637,1.4054,Plantaurel,09393
12384,3623,43.3381,0.4159,Astarac,32383
12396,3624,43.3398,0.5143,Astarac,32383
12408,3625,43.3415,0.6128,Astarac,32383
12420,3764,43.4063,0.2163,Astarac,32383
12432,3765,43.4082,0.3149,Astarac,32383
12444,3766,43.41,0.4134,Astarac,32383
12456,3767,43.4117,0.512,Astarac,32383
12468,3768,43.4133,0.6106,Astarac,32383
12480,3769,43.4149,0.7092,Astarac,32383
12492,3770,43.4163,0.8078,Astarac,32383
12504,3771,43.4177,0.9064,Astarac,32383
12516,3772,43.4189,1.005,Astarac,32383
12528,3907,43.4782,0.2136,Astarac,32383
12540,3908,43.4801,0.3123,Astarac,32383
12552,3909,43.4819,0.411,Astarac,32383
12564,3910,43.4836,0.5097,Astarac,32383
12576,3911,43.4852,0.6085,Astarac,32383
12588,3913,43.4882,0.8059,Astarac,32383
12600,3914,43.4896,0.9046,Astarac,32383
12612,3915,43.4908,1.0034,Astarac,32383
13104,8951,46.0027,4.1441,Plaine Roannaise,42190
13116,9093,46.0763,4.0431,Plaine Roannaise,42190
13128,9094,46.0747,4.1465,Plaine Roannaise,42190
13140,9095,46.073,4.2499,Plaine Roannaise,42190
13152,9235,46.1498,3.9418,Plaine Roannaise,42190
13164,9236,46.1483,4.0454,Plaine Roannaise,42190
13176,9237,46.1467,4.1489,Plaine Roannaise,42190
13188,9377,46.2232,3.8403,Plaine Roannaise,42190
13392,4187,43.6086,-0.3852,Tursan et Riviere Basse,40387
13404,4188,43.6111,-0.2863,Tursan et Riviere Basse,40387
13416,4330,43.6805,-0.3887,Tursan et Riviere Basse,40387
13428,4331,43.6829,-0.2896,Tursan et Riviere Basse,40387
13440,4473,43.7523,-0.3921,Tursan et Riviere Basse,40387
13572,3343,43.2033,1.01,Vallees et Terrasses de la Garonne,31390
13584,3488,43.2774,1.2051,Vallees et Terrasses de la Garonne,31390
13596,3492,43.2809,1.5986,Vallees et Terrasses de la Garonne,31390
13608,3631,43.3493,1.2037,Vallees et Terrasses de la Garonne,31390
13620,3633,43.3512,1.4007,Vallees et Terrasses de la Garonne,31390
13632,3634,43.352,1.4992,Vallees et Terrasses de la Garonne,31390
13644,3774,43.4212,1.2023,Vallees et Terrasses de la Garonne,31390
13656,3775,43.4222,1.3009,Vallees et Terrasses de la Garonne,31390
13668,3776,43.4231,1.3995,Vallees et Terrasses de la Garonne,31390
13680,3918,43.4941,1.2996,Vallees et Terrasses de la Garonne,31390
13692,3919,43.495,1.3983,Vallees et Terrasses de la Garonne,31390
13704,4061,43.566,1.2983,Vallees et Terrasses de la Garonne,31390
13716,4062,43.5669,1.3972,Vallees et Terrasses de la Garonne,31390
13728,4063,43.5677,1.496,Vallees et Terrasses de la Garonne,31390
13740,4204,43.6379,1.297,Vallees et Terrasses de la Garonne,31390
13752,4205,43.6388,1.396,Vallees et Terrasses de la Garonne,31390
13764,4347,43.7098,1.2957,Vallees et Terrasses de la Garonne,31390
13776,4348,43.7107,1.3948,Vallees et Terrasses de la Garonne,31390
13788,4490,43.7817,1.2944,Vallees et Terrasses de la Garonne,31390
14256,6204,44.6427,1.0768,Perigord Noir,24404
14268,6346,44.7134,0.9743,Perigord Noir,24404
14280,6347,44.7146,1.0751,Perigord Noir,24404
14292,6348,44.7157,1.176,Perigord Noir,24404
14304,6488,44.784,0.8715,Perigord Noir,24404
14316,6489,44.7853,0.9725,Perigord Noir,24404
14328,6490,44.7865,1.0735,Perigord Noir,24404
14340,6491,44.7877,1.1746,Perigord Noir,24404
14352,6492,44.7887,1.2756,Perigord Noir,24404
14364,6631,44.856,0.8696,Perigord Noir,24404
14376,6632,44.8573,0.9707,Perigord Noir,24404
14388,6633,44.8585,1.0719,Perigord Noir,24404
14400,6634,44.8596,1.1731,Perigord Noir,24404
14412,6635,44.8606,1.2742,Perigord Noir,24404
14424,6636,44.8615,1.3754,Perigord Noir,24404
14436,6773,44.9265,0.7664,Perigord Noir,24404
14448,6774,44.9279,0.8677,Perigord Noir,24404
14460,6775,44.9292,0.969,Perigord Noir,24404
14472,6776,44.9304,1.0703,Perigord Noir,24404
14484,6777,44.9315,1.1716,Perigord Noir,24404
14496,6778,44.9326,1.2728,Perigord Noir,24404
14508,6779,44.9335,1.3741,Perigord Noir,24404
14520,6917,44.9999,0.8658,Perigord Noir,24404
14532,6918,45.0012,0.9672,Perigord Noir,24404
14544,6919,45.0024,1.0686,Perigord Noir,24404
14556,6920,45.0035,1.1701,Perigord Noir,24404
14568,6921,45.0045,1.2715,Perigord Noir,24404
14580,6922,45.0055,1.3729,Perigord Noir,24404
14592,7061,45.0731,0.9655,Perigord Noir,24404
14604,7062,45.0743,1.067,Perigord Noir,24404
14616,7063,45.0755,1.1685,Perigord Noir,24404
14628,7064,45.0765,1.2701,Perigord Noir,24404
14640,7206,45.1474,1.167,Perigord Noir,24404
14652,7207,45.1484,1.2687,Perigord Noir,24404
15480,6061,44.5707,1.0784,Bourianne,46159
15492,6062,44.5718,1.179,Bourianne,46159
15504,6063,44.5728,1.2797,Bourianne,46159
15516,6205,44.6438,1.1775,Bourianne,46159
15528,6206,44.6448,1.2783,Bourianne,46159
15540,6207,44.6457,1.3791,Bourianne,46159
15552,6208,44.6465,1.4799,Bourianne,46159
15564,6349,44.7167,1.2769,Bourianne,46159
15576,6350,44.7176,1.3779,Bourianne,46159
